customerID,gender,SeniorCitizen,Partner,Dependents,tenure,MultipleLines,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Male,0,Yes,Yes,14,Yes,Fiber optic,No,No internet service,Month-to-month,No,Bank transfer,108.54,1487.02,0
CUST-00001,Female,0,No,No,72,No phone service,DSL,No,No,Two year,No,Credit card,42.82,3317.17,0
CUST-00002,Female,0,No,Yes,39,Yes,No,No,No,Month-to-month,No,Electronic check,96.64,4130.63,0
CUST-00003,Male,0,No,Yes,27,No,DSL,No,Yes,Two year,No,Credit card,63.92,1723.69,0
CUST-00004,Female,0,Yes,Yes,5,Yes,DSL,Yes,No,Month-to-month,Yes,Mailed check,88.12,430.96,0
CUST-00005,Female,0,Yes,Yes,5,Yes,Fiber optic,No internet service,No,Month-to-month,No,Credit card,66.47,330.48,1
CUST-00006,Female,0,No,No,1,No,Fiber optic,No internet service,No,Month-to-month,No,Mailed check,18.0,19.27,1
CUST-00007,Female,1,No,No,60,No,DSL,Yes,No,Two year,Yes,Credit card,18.0,1111.42,0
CUST-00008,Male,0,Yes,Yes,27,No,Fiber optic,Yes,Yes,Two year,Yes,Bank transfer,71.3,1749.83,0
CUST-00009,Female,0,No,Yes,36,Yes,Fiber optic,No,Yes,One year,No,Mailed check,57.09,2072.57,0
CUST-00010,Male,0,No,Yes,1,No phone service,Fiber optic,No internet service,No,Month-to-month,No,Electronic check,76.95,69.52,1
CUST-00011,Male,0,Yes,Yes,72,No,Fiber optic,No,No,Month-to-month,Yes,Credit card,57.44,4366.07,0
CUST-00012,Male,0,Yes,Yes,53,No,DSL,No internet service,No internet service,Two year,No,Credit card,118.0,6039.25,0
CUST-00013,Female,0,No,Yes,7,Yes,Fiber optic,No,Yes,One year,No,Mailed check,71.92,500.62,0
CUST-00014,Male,0,No,Yes,6,Yes,No,Yes,Yes,One year,No,Electronic check,51.59,328.03,0
CUST-00015,Female,0,No,No,6,No,Fiber optic,Yes,Yes,Month-to-month,Yes,Bank transfer,75.12,409.84,0
CUST-00016,Female,1,Yes,No,10,Yes,No,No,No internet service,Month-to-month,No,Credit card,52.14,485.79,1
CUST-00017,Female,0,No,Yes,22,No,Fiber optic,No internet service,Yes,Month-to-month,Yes,Electronic check,67.79,1460.94,1
CUST-00018,Male,0,No,No,16,Yes,Fiber optic,Yes,No,One year,No,Credit card,28.48,431.07,0
CUST-00019,Female,0,Yes,Yes,10,No,No,No,No,Two year,No,Electronic check,64.74,626.41,0
CUST-00020,Male,0,Yes,Yes,28,No,Fiber optic,No internet service,Yes,Month-to-month,Yes,Credit card,50.66,1559.81,0
CUST-00021,Female,0,Yes,Yes,4,Yes,No,No,No internet service,Month-to-month,No,Bank transfer,31.32,133.43,1
CUST-00022,Female,0,Yes,Yes,10,Yes,Fiber optic,No,No,Month-to-month,Yes,Mailed check,118.0,1270.6,1
CUST-00023,Male,0,Yes,Yes,13,No phone service,No,No,Yes,Month-to-month,Yes,Electronic check,32.49,459.29,1
CUST-00024,Female,0,No,Yes,18,Yes,Fiber optic,No,No,Two year,Yes,Bank transfer,65.21,1136.44,0
CUST-00025,Female,0,Yes,Yes,46,No,No,No internet service,No,Month-to-month,No,Bank transfer,40.92,1805.93,0
CUST-00026,Male,0,No,Yes,6,Yes,DSL,No internet service,No internet service,Two year,Yes,Credit card,73.91,419.87,0
CUST-00027,Male,1,Yes,Yes,21,No,Fiber optic,No internet service,No,One year,No,Bank transfer,26.77,599.29,0
CUST-00028,Male,1,No,Yes,26,No,No,No,Yes,One year,Yes,Mailed check,90.21,2429.69,0
CUST-00029,Male,1,Yes,No,1,Yes,DSL,Yes,No,Two year,Yes,Credit card,118.0,111.77,0
CUST-00030,Male,0,Yes,Yes,28,Yes,Fiber optic,Yes,No,One year,Yes,Bank transfer,39.81,1087.26,0
CUST-00031,Female,0,Yes,No,5,No phone service,No,Yes,No,Two year,No,Credit card,101.51,508.23,0
CUST-00032,Female,0,No,Yes,2,No,DSL,No,No,Month-to-month,No,Credit card,53.54,107.68,1
CUST-00033,Male,1,No,Yes,72,Yes,Fiber optic,No,No,One year,Yes,Credit card,110.17,8548.94,0
CUST-00034,Male,0,Yes,Yes,72,No,Fiber optic,No internet service,No internet service,One year,No,Electronic check,118.0,8293.06,0
CUST-00035,Female,0,No,Yes,49,No phone service,Fiber optic,Yes,No,Month-to-month,Yes,Bank transfer,57.99,3073.68,0
CUST-00036,Male,0,No,Yes,10,No,DSL,Yes,No,One year,No,Mailed check,19.39,191.63,0
CUST-00037,Female,0,No,No,3,Yes,DSL,No,Yes,One year,No,Mailed check,93.44,294.13,0
CUST-00038,Male,0,Yes,No,34,Yes,DSL,No internet service,No,Two year,Yes,Mailed check,71.73,2648.68,0
CUST-00039,Female,0,Yes,Yes,17,No,DSL,Yes,No,Month-to-month,No,Credit card,80.05,1471.78,1
CUST-00040,Female,0,Yes,No,3,No,DSL,Yes,No,One year,Yes,Electronic check,54.8,149.83,0
CUST-00041,Male,0,No,Yes,20,No,Fiber optic,No,No internet service,Month-to-month,No,Mailed check,38.47,724.11,1
CUST-00042,Male,0,No,No,1,No,Fiber optic,No,No,One year,Yes,Electronic check,99.81,99.35,0
CUST-00043,Female,0,No,Yes,72,No,Fiber optic,No internet service,No,Month-to-month,Yes,Electronic check,74.59,5296.96,0
CUST-00044,Female,0,Yes,No,8,Yes,DSL,No,Yes,One year,Yes,Bank transfer,21.69,178.41,0
CUST-00045,Male,0,Yes,No,32,Yes,Fiber optic,No internet service,No,Month-to-month,Yes,Electronic check,85.61,2983.18,0
CUST-00046,Male,0,No,No,11,No phone service,DSL,No internet service,Yes,Month-to-month,Yes,Electronic check,79.59,807.62,1
CUST-00047,Female,1,Yes,No,22,Yes,No,Yes,No internet service,Month-to-month,Yes,Mailed check,55.24,1203.58,0
CUST-00048,Female,0,No,Yes,23,No,Fiber optic,No,No,Month-to-month,Yes,Electronic check,113.59,2451.85,0
CUST-00049,Female,0,Yes,Yes,6,No,No,No,No,One year,No,Electronic check,46.45,300.67,0
CUST-00050,Male,0,No,Yes,72,No,DSL,No,Yes,Two year,No,Credit card,59.93,4715.89,0
CUST-00051,Male,0,Yes,Yes,44,No,Fiber optic,Yes,No internet service,Month-to-month,Yes,Credit card,88.06,3858.14,1
CUST-00052,Male,0,No,Yes,72,No,Fiber optic,No internet service,No,Month-to-month,No,Mailed check,67.3,4461.84,0
CUST-00053,Male,0,Yes,No,67,No phone service,No,Yes,No,Month-to-month,Yes,Mailed check,23.47,1662.21,1
CUST-00054,Male,0,No,Yes,27,No,Fiber optic,No internet service,Yes,One year,Yes,Credit card,70.51,1978.83,0
CUST-00055,Female,0,Yes,Yes,72,Yes,Fiber optic,No,No,Month-to-month,No,Electronic check,52.57,3675.02,1
CUST-00056,Female,1,No,No,2,No,DSL,No,No,Month-to-month,No,Bank transfer,90.71,195.48,0
CUST-00057,Male,0,No,Yes,6,No phone service,Fiber optic,No,No,Month-to-month,No,Bank transfer,69.54,456.95,1
CUST-00058,Female,0,No,Yes,1,Yes,DSL,No internet service,Yes,Month-to-month,No,Bank transfer,67.84,68.62,1
CUST-00059,Female,0,Yes,Yes,11,Yes,DSL,No,Yes,Month-to-month,Yes,Credit card,33.55,373.9,0
CUST-00060,Female,0,Yes,No,14,No,DSL,Yes,No,Month-to-month,Yes,Mailed check,58.1,780.46,1
CUST-00061,Female,0,Yes,Yes,9,Yes,No,No,No,One year,No,Mailed check,94.1,861.21,0
CUST-00062,Female,0,No,No,52,No,Fiber optic,No,No internet service,One year,Yes,Bank transfer,41.7,2142.22,0
CUST-00063,Male,0,No,No,13,No phone service,No,Yes,No,Month-to-month,No,Credit card,64.02,799.33,0
CUST-00064,Female,0,Yes,No,9,No,No,No,No,One year,Yes,Credit card,36.91,303.43,0
CUST-00065,Male,0,No,No,23,Yes,No,No,No,Month-to-month,No,Bank transfer,29.48,644.51,0
CUST-00066,Male,0,Yes,Yes,4,Yes,No,No,No,Two year,No,Credit card,62.45,234.7,0
CUST-00067,Female,0,No,Yes,48,Yes,No,Yes,No,Month-to-month,No,Electronic check,70.21,3398.42,1
CUST-00068,Female,0,No,Yes,2,Yes,DSL,No internet service,No,One year,No,Mailed check,118.0,240.8,0
CUST-00069,Female,0,Yes,Yes,72,No phone service,DSL,No,Yes,One year,Yes,Electronic check,51.34,3776.75,0
CUST-00070,Female,0,No,No,44,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,63.49,2731.09,0
CUST-00071,Male,0,No,Yes,6,Yes,Fiber optic,Yes,Yes,Two year,No,Bank transfer,27.5,162.4,0
